日期,隊伍,兩分命中率,三分命中率,罰球命中率,進攻,防守,總計,助攻,抄截,阻攻,失誤,犯規,得分,勝負,二分出手,二分命中,三分出手,三分命中,罰球出手,罰球命中
2018-12-07-16-1,政治大學,49.2,36.4,31.6,20,31,51,23,15,7,20,16,88,1,29,59,8,22,6,19
2018-12-07-18-0,高雄師大,46.2,15,65.4,9,26,35,14,12,2,16,17,62,0,18,39,3,20,17,26
2018-12-07-18-1,義守大學,50,21.1,53.3,19,28,47,14,8,2,18,20,70,1,19,38,8,38,8,15
2018-12-08-13-0,北市大學,40.5,19.2,52.6,13,21,34,8,8,3,10,17,59,0,17,42,5,26,10,19
2018-12-08-13-1,中州科大,39.1,38.5,66.7,22,34,56,13,7,2,16,14,76,1,18,46,10,26,10,15
2018-12-08-14-0,臺北商大,50,12.5,55.6,8,31,39,7,4,2,14,16,63,0,22,44,3,24,10,18
2018-12-08-14-1,高雄師大,37,34.6,59.1,15,35,50,14,9,3,14,16,80,1,20,54,9,26,13,22
2018-12-08-16-0,政治大學,48.1,32.4,85.7,23,22,45,19,13,0,12,19,91,1,26,54,11,34,6,7
2018-12-08-16-1,屏東大學,30.6,22.2,77.8,9,21,30,6,6,1,28,9,48,0,11,36,4,18,14,18
2018-12-08-18-0,義守大學,41.5,27,63.2,16,26,42,15,8,8,20,16,76,0,17,41,10,37,12,19
